"Table_Name","Type","Field_Name","Indicator_Name","Description"
"-","Glossary Definition","-","NHDPlus2","The National Hydrography Dataset Plus Version 2 (NHDPlus2) is a collection of geospatial datasets on the location and attributes of surface waters in the United States and their drainage areas. NHDPlus2 datasets are derived from static snapshots of the National Hydrography Dataset (NHD) surface water network, Watershed Boundary Dataset (WBD) hydrologic units (12-digit), and National Elevation Dataset (NED) topography. NHDPlus2 is the current standard for US EPA and many other users of nationally consistent geospatial data on surface waters. For more information and data access go to: http://www.horizon-systems.com/NHDPlus/NHDPlusV2_home.php."
"-","Glossary Definition","-","NHD Snapshot","The NHDPlus2 National Hydrography Dataset Snapshot (NHD Snapshot) is a geospatial database of surface water features (rivers, streams, lakes, reservoirs, etc.) in the United States. The NHD Snapshot depicts the location of surface waters at medium resolution (1:100,000-scale or better) as line or polygon features with information on upstream/downstream connections. The NHD Snapshot is a static copy of the National Hydrography Dataset (NHD) maintained by the US Geological Survey which was used for development of NHDPlus2. Because the NHD undergoes frequent updates by USGS, and because improvements were applied during NHDPlus2 development, the NHD Snapshot is provided for download by NHDPlus2 developers to serve as a standard hydrography dataset for users."
"-","Glossary Definition","-","NED Snapshot","The NHDPlus2 National Elevation Dataset Snapshot (NED Snapshot) is a geospatial gridded dataset of the land surface elevation of the United States at 30-meter resolution. The NED Snapshot is a static copy of the National Elevation Dataset (NED) maintained by the US Geological Survey (USGS) which was used for development of NHDPlus2. Because the NED undergoes frequent updates by USGS, the NED Snapshot is provided for download by NHDPlus2 developers to serve as a standard elevation dataset for users."
"-","Glossary Definition","-","WBD Snapshot","The NHDPlus2 Watershed Boundary Dataset Snapshot (WBD Snapshot) is a geospatial dataset of surface water drainage area boundaries in the United States. The WBD Snapshot is a static copy of 12-digit hydrologic unit (HUC12) boundaries in the Watershed Boundary Dataset (WBD) maintained by the US Geological Survey and Natural Resources Conservation Service which was used for development of NHDPlus2. Because the WBD undergoes frequent updates by USGS and NRCS, the WBD Snapshot is provided for download by NHDPlus2 developers to serve as a standard HUC12 boundary dataset for users."
"-","Glossary Definition","-","WBD Snapshot, EnviroAtlas Version","The EnviroAtlas version of the NHDPlus2 Watershed Boundary Dataset (WBD Snapshot, EnviroAtlas Version) is an edited version of the WBD Snapshot. To create the EnviroAtlas Version, the WBD Snapshot was clipped to the boundaries of the United States and manually edited to eliminate overlapping HUC12 boundaries. Additional information on the WBD Snapshot, EnviroAtlas Version can be found at: http://www.epa.gov/enviroatlas/enviroatlas-data-download-step-2."
"-","Glossary Definition","-","2011 CDL-NLCD Hybrid Land Cover","The 2011 CDL-NLCD Hybrid Land Cover dataset is a national land cover grid that combines the 2011 Cropland Data Layer (CDL) and the 2011 National Land Cover Database (NLCD) Land Cover datasets. The 2011 NLCD Land Cover dataset was used as the base layer. Agricultural land cover classes from the 2011 CDL were then overlaid onto the base layer except where single, isolated CDL crop pixels had less than 90% confidence in crop type classification. This dataset was produced by EPA EnviroAtlas as a continuous 30 meter resolution grid for the United States. More information on the 2011 CDL-NLCD Hybrid Land Cover dataset can be found at: https://edg.epa.gov/data/Public/ORD/EnviroAtlas."
"-","Glossary Definition","-","Water Mask","The Water Mask is a geospatial grid dataset depicting the location of surface waters in the United States. The Water Mask combines surface water features in the NHDPlus2 with areas classified as open water or wetlands in the National Land Cover Database (NLCD) 2011 Land Cover dataset. The Water Mask was created by overlaying a grid of NHDPlus2 surface water features (the NHDPlus2 CatSeed grid) with pixels in the NLCD2011 Land Cover dataset classified as open water (code 11), woody wetlands (code 90), and emergent herbaceous wetlands (code 95). The spatial resolution of the Water Mask grid is 30 meters."
"-","Glossary Definition","-","Wetness Index","The Wetness Index is a geospatial grid dataset of Wetness Index values for the United States. The Wetness Index is a relative measure of average soil moisture and runoff potential based on topography and is also known as the Topographic Index. The dataset stores a Wetness Index value for each grid pixel based on the magnitude of the pixel's upstream drainage area and pixel slope. The Wetness Index grid was generated from the NHDPlus2 NED Snapshot and NHDPlus2 Flow Accumulation grids using the following steps: (1) the NED Snapshot was used to create a gridded dataset of land surface slope in degrees; (2) a Wetness Index value was calculated for each grid pixel as ln(Flow Accumulation/tan(Slope)); (3) a smoothed Wetness Index grid was calculated as the average of step 2 values in each 3-by-3 pixel block; (4) the final Wetness Index value for each grid pixel was calculated as the average of the unsmoothed value (step 2) and the smoothed value (step 3). The spatial resolution of the Wetness Index grid is 30 meters."
"-","Glossary Definition","-","Watershed (WS)","Watershed (WS) is used to describe indicators that are measured throughout the entire geographic area of the HUC12. Although all indicators are expressed as attributes of HUC12s, some indicators measure conditions throughout the entire geographic area of the HUC12, while others measure conditions within a subarea of the HUC12. For example, watershed (WS) land cover indicators measure land cover in the entire HUC12 while riparian zone (RZ) land cover indicators measure land cover in the buffer surrounding surface water features in the HUC12."
"-","Glossary Definition","-","Riparian Zone (RZ)","The Riparian Zone (RZ) is the corridor of land adjacent to surface waters. The RZ is delineated for the United States in a geospatial grid dataset depicting surface water features and adjacent buffer areas. The RZ grid was generated by creating a 108 meter buffer around surface waters in the Water Mask grid. The buffer includes areas on both sides of surface waters and the buffer size of 108 meters was selected based on the spatial resolution of the Water Mask grid to approximate a 100 meter buffer. The spatial resolution of the RZ grid is 30 meters. (See also Water Mask glossary definition)."
