"HUC_12","NAME_HUC12","ECOREGION","STATE","Shape_Length","Shape_Area","HUC12","ECOREGION2013L3_1STCODE","STATE_MAJ_2013","PHWA_HEALTH_NDX_ER_2016","PHWA_VULN_NDX_ER_2016","PHWA_LANDSC_SUBNDX_ER_2016","PHWA_HYDRO_SUBNDX_ER_2016","PHWA_GEO_SUBNDX_ER_2016","PHWA_HAB_SUBNDX_ER_2016","PHWA_BIO_SUBNDX_ER_2016","PHWA_WQ_SUBNDX_ER_2016","PHWA_LUVLN_SUBNDX_ER_2016","PHWA_WUVLN_SUBNDX_ER_2016","PHWA_WFVLN_SUBNDX_ER_2016","PHWA_HEALTH_NDX_ER_PCT_2016","PHWA_VULN_NDX_ER_PCT_2016","PHWA_LANDSC_SUBNDX_ER_PCT_2016","PHWA_HYDRO_SUBNDX_ER_PCT_2016","PHWA_GEO_SUBNDX_ER_PCT_2016","PHWA_HAB_SUBNDX_ER_PCT_2016","PHWA_BIO_SUBNDX_ER_PCT_2016","PHWA_WQ_SUBNDX_ER_PCT_2016","PHWA_LUVLN_SUBNDX_ER_PCT_2016","PHWA_WUVLN_SUBNDX_ER_PCT_2016","PHWA_WFVLN_SUBNDX_ER_PCT_2016","PHWA_HEALTH_NDX_ST_2016","PHWA_VULN_NDX_ST_2016","PHWA_LANDSC_SUBNDX_ST_2016","PHWA_HYDRO_SUBNDX_ST_2016","PHWA_GEO_SUBNDX_ST_2016","PHWA_HAB_SUBNDX_ST_2016","PHWA_BIO_SUBNDX_ST_2016","PHWA_WQ_SUBNDX_ST_2016","PHWA_LUVLN_SUBNDX_ST_2016","PHWA_WUVLN_SUBNDX_ST_2016","PHWA_WFVLN_SUBNDX_ST_2016","PHWA_HEALTH_NDX_ST_PCT_2016","PHWA_VULN_NDX_ST_PCT_2016","PHWA_LANDSC_SUBNDX_ST_PCT_2016","PHWA_HYDRO_SUBNDX_ST_PCT_2016","PHWA_GEO_SUBNDX_ST_PCT_2016","PHWA_HAB_SUBNDX_ST_PCT_2016","PHWA_BIO_SUBNDX_ST_PCT_2016","PHWA_WQ_SUBNDX_ST_PCT_2016","PHWA_LUVLN_SUBNDX_ST_PCT_2016","PHWA_WUVLN_SUBNDX_ST_PCT_2016","PHWA_WFVLN_SUBNDX_ST_PCT_2016"
"030101040502","Hyco Creek",45,"NC",76082.9152213967,147096443.538189,"030101040502",45,"NC",0.787242156,0.121208506,0.836539704,0.815947388,0.975015197,0.827955479,0.480753013,NA,0.23033053,0.017673831,0.115621156,73.22874494,11.58906883,55.92105263,75.20242915,91.09311741,55.21783181,67.4834099,NA,13.46153846,40.89068826,14.9291498,0.763457782,0.106414509,0.791264298,0.798709287,0.978739309,0.748576019,NA,0.5,0.236590706,0.013722442,0.06893038,43.78733572,9.199522103,61.58900836,62.00716846,94.44444444,42.84829721,NA,33.64779874,10.39426523,24.85065711,14.87455197
"030101040503","Upper South Hyco Creek",45,"NC",46301.6401533531,75156012.1698686,"030101040503",45,"NC",0.682628691,0.124804884,0.819395643,0.617368974,0.935920363,0.740177662,0.300280811,NA,0.251111604,0.005221867,0.118081181,30.36437247,13.36032389,48.7854251,13.36032389,72.06477733,30.90172239,44.20622767,NA,50.75910931,15.89068826,15.48582996,0.595929934,0.109487135,0.775765995,0.60284772,0.943740787,0.657295166,NA,0,0.252202293,0.005830245,0.070428867,11.11111111,11.23058542,54.71923536,6.810035842,84.94623656,23.46749226,NA,18.86792453,43.60812425,12.60454002,15.59139785
"030202010102","South Flat River",45,"NC",61776.1430047613,146429991.58854,"030202010102",45,"NC",0.663009871,0.128413773,0.806029785,0.729986675,0.836633593,0.771777676,0.170621625,NA,0.250222321,0.041538064,0.093480935,26.41700405,14.9291498,43.97773279,41.24493927,31.37651822,38.14589666,18.0704441,NA,45.1417004,62.39878543,10.72874494,0.822180207,0.114265925,0.754013656,0.740119638,0.926611467,0.690156273,NA,1,0.250440459,0.036913313,0.055444002,64.57586619,13.50059737,45.16129032,35.96176822,79.03225806,30.15479876,NA,100,37.45519713,46.35603345,10.03584229
"030202010104","Lake Michie-Flat River",45,"NC",71360.2004123298,106930889.612397,"030202010104",45,"NC",0.715280794,0.133338821,0.877941138,0.707197797,0.873925047,0.870088831,0.247251155,NA,0.257156449,0.023980635,0.11887938,41.85222672,17.10526316,73.07692308,32.79352227,43.16801619,68.69300912,33.53751914,NA,62.34817814,48.27935223,15.58704453,0.831363398,0.121640723,0.791299401,0.74239716,0.910029601,0.792390828,NA,0.9207,0.273211443,0.020946692,0.070764035,68.16009558,16.90561529,61.64874552,37.09677419,72.64038232,56.47058824,NA,47.72012579,67.4432497,33.09438471,15.71087216
"030202010201","North Fork Little River",45,"NC",65129.4483654259,85125317.0698471,"030202010201",45,"NC",0.686279869,0.1233054,0.822008562,0.727632227,0.862180456,0.782311014,0.237267086,NA,0.257864374,0.013650842,0.098400984,31.17408907,12.5,50.45546559,40.43522267,39.22064777,41.33738602,31.75089331,NA,63.10728745,34.10931174,11.33603239,0.825314416,0.113064083,0.767128933,0.759120836,0.899212337,0.701109975,NA,1,0.264481769,0.016269504,0.058440975,65.47192354,12.72401434,50.4181601,44.86260454,67.8614098,31.64086687,NA,100,60.87216249,27.83751493,10.75268817
"030202010202","South Fork Little River",45,"NC",65847.0173636675,101338484.525276,"030202010202",45,"NC",0.707087751,0.131360498,0.801405171,0.761868019,0.929773304,0.792844352,0.249547909,NA,0.262005331,0.018116833,0.113959331,38.20850202,15.94129555,42.05465587,52.63157895,68.97773279,44.47821682,33.99693721,NA,66.34615385,41.49797571,14.32186235,0.836760527,0.121663531,0.757382262,0.763187103,0.951169591,0.712063678,NA,1,0.273784771,0.023438761,0.067767062,70.48984468,16.96535245,46.71445639,46.17682198,87.33572282,33.99380805,NA,100,68.04062127,35.72281959,14.09796894
"030202010203","Mountain Creek-Little River",45,"NC",64379.0644563484,85158804.544975,"030202010203",45,"NC",0.656297987,0.142435596,0.800028419,0.662185968,0.819437742,0.792844352,0.206993457,NA,0.279897704,0.046548075,0.100861009,24.39271255,22.01417004,41.548583,20.39473684,27.12550607,44.47821682,25.57427259,NA,74.94939271,64.9291498,11.58906883,0.790176465,0.139774451,0.731589641,0.693656127,0.813972879,0.712063678,NA,0.9996,0.303374008,0.056009883,0.059939461,52.7479092,25.98566308,35.90203106,19.53405018,37.57467145,33.99380805,NA,54.48113208,78.97252091,57.64635603,10.9916368
"030202010301","Lake Orange-Eno River",45,"NC",43280.5880254252,69257590.9696646,"030202010301",45,"NC",0.622908236,0.136892744,0.795354636,0.572918049,0.857981504,0.747199888,0.141087101,NA,0.264895509,0.054761813,0.09102091,18.21862348,18.62348178,40.23279352,8.552631579,37.55060729,32.62411348,13.11893823,NA,68.47165992,68.57287449,10.32388664,0.772046638,0.117717496,0.748421233,0.57743258,0.869981743,0.664597634,NA,0.9998,0.279510738,0.019696234,0.053945515,46.8339307,15.17323775,42.89127838,5.13739546,55.91397849,25.20123839,NA,54.71698113,70.66905615,32.43727599,9.677419355
"030202010302","Sevenmile Creek-Eno River",45,"NC",53654.1569241674,101655639.102864,"030202010302",45,"NC",0.618035279,0.158806037,0.648535967,0.726344621,0.892936802,0.761244338,0.061114667,NA,0.326923074,0.051094052,0.098400984,17.40890688,30.11133603,12.39878543,39.82793522,51.36639676,35.91691996,3.266972945,NA,82.54048583,66.85222672,11.33603239,0.764810369,0.1756691,0.592405831,0.72954358,0.907449864,0.67920257,NA,0.91545,0.402398737,0.06616759,0.058440975,44.5041816,43.36917563,8.064516129,32.49701314,71.38590203,28.0495356,NA,47.09119497,90.02389486,62.06690562,10.75268817
"030202010303","Stony Creek-Eno River",45,"NC",69604.5622947487,123483893.991869,"030202010303",45,"NC",0.659603699,0.146160829,0.796618312,0.714813789,0.884900597,0.782311014,0.119374781,NA,0.294042699,0.060798952,0.083640836,25.10121457,23.43117409,40.7388664,35.62753036,47.5708502,41.33738602,9.035222052,NA,78.2388664,71.05263158,9.412955466,0.817189595,0.167911459,0.746746094,0.735145297,0.902946607,0.701109975,NA,1,0.372564069,0.081720252,0.049450055,63.08243728,40.62126643,42.11469534,33.99044205,69.2353644,31.64086687,NA,100,88.11230585,66.54719235,8.482676225
